"participant-ID","male","av/Car","perspective","passedSanCheck","perceivedCar","perceivedIden","age","drivExperience","education","recAccidents","heardBoutAV","opinAV","prevVRExp","visImpairment","confidence","trial","decision","SecondSanCheck"
"SOO09","True","True","PedLarge","True","Computer (AV)","Beobachter","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","71","smallGroups","hitAdults","True"
"SOO09","True","True","PedLarge","True","Computer (AV)","Beobachter","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","68","largeGroups","hitAdults","True"
"NSV02","False","True","Passenger","False","Mensch","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Nein","Neutral","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","39","largeGroups","hitAdults","True"
"NSV02","False","True","Passenger","False","Mensch","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Nein","Neutral","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","42","smallGroups","hitChildren","True"
"ULB06","True","True","Passenger","True","Computer (AV)","Mitfahrer","19","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","50","smallGroups","hitAdults","True"
"ULB06","True","True","Passenger","True","Computer (AV)","Mitfahrer","19","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","65","largeGroups","hitAdults","True"
"GNI09","False","False","Passenger","True","Computer (AV)","Beobachter","21","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Sehr positiv","Nein","Nein","63","largeGroups","hitChildren","True"
"GNI09","False","False","Passenger","True","Computer (AV)","Beobachter","21","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Sehr positiv","Nein","Nein","61","smallGroups","hitAdults","True"
"MRM03","False","True","Passenger","True","Computer (AV)","Mitfahrer","24","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Nein","Nein","16","largeGroups","hitChildren","True"
"MRM03","False","True","Passenger","True","Computer (AV)","Mitfahrer","24","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Nein","Nein","23","smallGroups","hitChildren","True"
"GIB11","False","False","PedLarge","False","Mensch","Beobachter","29","Ich fahre nicht Auto","Hochschulabschluss (Master, Diplom, oder höher)","Nein","Ja","Neutral","Ja","Nein","14","smallGroups","hitChildren","True"
"GIB11","False","False","PedLarge","False","Mensch","Beobachter","29","Ich fahre nicht Auto","Hochschulabschluss (Master, Diplom, oder höher)","Nein","Ja","Neutral","Ja","Nein","9","largeGroups","hitAdults","True"
"ATL03","False","True","PedLarge","True","Computer (AV)","Beobachter","24","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Nein","39","smallGroups","hitAdults","True"
"ATL03","False","True","PedLarge","True","Computer (AV)","Beobachter","24","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Nein","36","largeGroups","hitAdults","True"
"BFL08","True","True","Observer","True","Computer (AV)","Beobachter","21","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Nein","36","smallGroups","hitAdults","True"
"BFL08","True","True","Observer","True","Computer (AV)","Beobachter","21","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Nein","22","largeGroups","hitAdults","True"
"UZG02","False","True","Observer","True","Computer (AV)","Beobachter","25","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Nein","Neutral","Nein","Nein","74","largeGroups","hitAdults","True"
"UZG02","False","True","Observer","True","Computer (AV)","Beobachter","25","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Nein","Neutral","Nein","Nein","0","smallGroups","hitChildren","True"
"MFS06","True","False","Observer","True","Mensch","Fußgänger","26","Ich fahre nicht Auto","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Neutral","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","20","largeGroups","hitChildren","True"
"MFS06","True","False","Observer","True","Mensch","Fußgänger","26","Ich fahre nicht Auto","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Neutral","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","24","smallGroups","hitAdults","True"
"ETO09","True","False","PedLarge","True","Mensch","Fußgänger","27","10+","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","6","largeGroups","hitAdults","True"
"ETO09","True","False","PedLarge","True","Mensch","Fußgänger","27","10+","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","10","smallGroups","hitAdults","True"
"GNM07","False","False","Passenger","True","Computer (AV)","Mitfahrer","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr negativ","Nein","Nein","10","smallGroups","hitAdults","True"
"GNM07","False","False","Passenger","True","Computer (AV)","Mitfahrer","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr negativ","Nein","Nein","0","largeGroups","hitAdults","True"
"ESE01","True","False","Observer","True","Mensch","Beobachter","23","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Ja","Nein","0","smallGroups","hitAdults","True"
"ESE01","True","False","Observer","True","Mensch","Beobachter","23","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Ja","Nein","0","largeGroups","hitChildren","True"
"BGN05","True","False","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja","66","smallGroups","hitChildren","True"
"BGN05","True","False","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja","37","largeGroups","hitChildren","True"
"KSS05","False","True","PedLarge","False","Computer (AV)","Beobachter","22","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Nein","28","smallGroups","hitChildren","True"
"KSS05","False","True","PedLarge","False","Computer (AV)","Beobachter","22","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Nein","0","largeGroups","hitAdults","True"
"MNB10","True","True","Observer","True","Mensch","Beobachter","24","1-5 Jahre","keinen Hocschulabschluss","Nein","Nein","Sehr negativ","Nein","Nein","100","smallGroups","hitAdults","False"
"MNB10","True","True","Observer","True","Mensch","Beobachter","24","1-5 Jahre","keinen Hocschulabschluss","Nein","Nein","Sehr negativ","Nein","Nein","50","largeGroups","hitAdults","False"
"MJM09","False","False","PedSmall","True","Mensch","Fußgänger","26","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Negativ","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","100","smallGroups","hitAdults","True"
"MJM09","False","False","PedSmall","True","Mensch","Fußgänger","26","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Negativ","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","100","largeGroups","hitAdults","True"
"AHN06","True","False","Observer","True","Mensch","Beobachter","22","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","24","smallGroups","hitChildren","True"
"AHN06","True","False","Observer","True","Mensch","Beobachter","22","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","26","largeGroups","hitChildren","True"
"ANV01","False","True","PedSmall","True","Computer (AV)","Fußgänger","22","1-5 Jahre","keinen Hocschulabschluss","Ja","Nein","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","5","smallGroups","hitChildren","True"
"ANV01","False","True","PedSmall","True","Computer (AV)","Fußgänger","22","1-5 Jahre","keinen Hocschulabschluss","Ja","Nein","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","72","largeGroups","hitChildren","True"
"CSS02","True","False","PedLarge","True","Computer (AV)","Fußgänger","26","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Sehr positiv","Ja","Nein","27","largeGroups","hitChildren","True"
"CSS02","True","False","PedLarge","True","Computer (AV)","Fußgänger","26","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Sehr positiv","Ja","Nein","30","smallGroups","hitChildren","True"
"LSH01","True","False","Passenger","True","Mensch","Fußgänger","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","44","smallGroups","hitAdults","True"
"LSH01","True","False","Passenger","True","Mensch","Fußgänger","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","58","largeGroups","hitAdults","True"
"LXB10","False","True","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","100","largeGroups","hitChildren","True"
