"participant-ID","male","av/car","perspective","scenario","numb_childrenL","numb_adultL","numb_adultR","left_first","selected_option","difficulty_of_decision","response_time1","response_time2","SecondSanCheck","SecondSanCheck"
"SOO09","True","True","3","0","0","1","5","True","Ersteres","100","18.53464","2.565002","True","True"
"SOO09","True","True","3","0","0","0","1","True","Ersteres","100","3.331238","1.471771","True","True"
"SOO09","True","True","3","1","0","2","4","True","Ersteres","39","3.085266","3.160278","True","True"
"SOO09","True","True","3","0","1","1","3","False","Ersteres","71","3.152466","1.058411","True","True"
"SOO09","True","True","3","3","0","2","0","True","Ersteres","100","1.830811","3.586548","True","True"
"SOO09","True","True","3","0","2","1","5","True","Zweiteres","68","3.065491","2.75647","True","True"
"SOO09","True","True","3","1","0","1","2","False","Ersteres","77","1.883301","1.423035","True","True"
"SOO09","True","True","3","2","0","2","0","False","Zweiteres","83","3.424255","1.591309","True","True"
"NSV02","False","True","0","0","0","1","5","False","Zweiteres","80","17.46465","6.829727","True","True"
"NSV02","False","True","0","0","0","0","1","False","Ersteres","100","7.15097","2.477478","True","True"
"NSV02","False","True","0","0","2","1","5","False","Ersteres","39","3.281799","4.45874","True","True"
"NSV02","False","True","0","3","0","2","0","False","Zweiteres","100","7.830566","1.540924","True","True"
"NSV02","False","True","0","1","0","1","2","False","Zweiteres","100","5.59082","1.703064","True","True"
"NSV02","False","True","0","1","0","2","4","True","Ersteres","98","7.882874","1.913086","True","True"
"NSV02","False","True","0","0","1","1","3","True","Ersteres","42","5.645691","3.736938","True","True"
"NSV02","False","True","0","2","0","2","0","False","Zweiteres","65","2.762268","1.973694","True","True"
"ULB06","True","True","0","0","0","1","5","False","Zweiteres","90","5.496857","3.113747","True","True"
"ULB06","True","True","0","0","0","0","1","False","Zweiteres","100","6.975998","1.892838","True","True"
"ULB06","True","True","0","2","0","2","0","False","Zweiteres","82","2.361084","4.497269","True","True"
"ULB06","True","True","0","1","0","2","4","False","Zweiteres","100","1.248199","1.421387","True","True"
"ULB06","True","True","0","0","1","1","3","False","Ersteres","50","3.268097","1.88089","True","True"
"ULB06","True","True","0","0","2","1","5","True","Zweiteres","65","1.931763","1.709625","True","True"
"ULB06","True","True","0","1","0","1","2","False","Zweiteres","92","2.026062","2.240845","True","True"
"ULB06","True","True","0","3","0","2","0","True","Zweiteres","0","1.868347","1.303894","True","True"
"GNI09","False","False","0","0","0","1","5","True","Ersteres","85","12.84624","13.61491","True","True"
"GNI09","False","False","0","0","0","0","1","True","Ersteres","100","5.955963","4.118683","True","True"
"GNI09","False","False","0","0","2","1","5","False","Zweiteres","63","9.304718","14.54266","True","True"
"GNI09","False","False","0","1","0","2","4","True","Ersteres","80","15.60739","3.034882","True","True"
"GNI09","False","False","0","0","1","1","3","False","Ersteres","61","37.03967","2.579468","True","True"
"GNI09","False","False","0","2","0","2","0","True","Ersteres","33","17.37286","7.714539","True","True"
"GNI09","False","False","0","3","0","2","0","False","Ersteres","100","5.313782","5.190613","True","True"
"GNI09","False","False","0","1","0","1","2","False","Zweiteres","83","5.224243","7.45343","True","True"
"MRM03","False","True","0","0","0","1","5","True","Ersteres","100","13.59979","4.772705","True","True"
"MRM03","False","True","0","0","0","0","1","True","Ersteres","100","6.446991","1.986237","True","True"
"MRM03","False","True","0","0","2","1","5","False","Zweiteres","16","22.1395","7.650482","True","True"
"MRM03","False","True","0","1","0","2","4","True","Ersteres","97","8.743713","3.867004","True","True"
"MRM03","False","True","0","0","1","1","3","False","Zweiteres","23","5.479919","1.848206","True","True"
"MRM03","False","True","0","1","0","1","2","False","Zweiteres","100","5.553528","3.147766","True","True"
"MRM03","False","True","0","3","0","2","0","False","Ersteres","38","10.96423","2.249573","True","True"
"MRM03","False","True","0","2","0","2","0","False","Zweiteres","22","6.367065","2.189087","True","True"
"GIB11","False","False","3","0","0","1","5","True","Ersteres","100","7.74054","8.410889","True","True"
"GIB11","False","False","3","0","0","0","1","True","Zweiteres","71","7.899658","2.041565","True","True"
"GIB11","False","False","3","2","0","2","0","False","Ersteres","50","1.862701","3.029663","True","True"
"GIB11","False","False","3","1","0","1","2","False","Ersteres","50","5.815002","3.265991","True","True"
"GIB11","False","False","3","0","1","1","3","True","Ersteres","14","1.422119","3.414307","True","True"
"GIB11","False","False","3","0","2","1","5","True","Zweiteres","9","5.502319","4.003174","True","True"
"GIB11","False","False","3","1","0","2","4","True","Zweiteres","27","3.074829","5.025085","True","True"
"GIB11","False","False","3","3","0","2","0","True","Zweiteres","84","4.145325","3.170837","True","True"
"ATL03","False","True","3","0","0","1","5","True","Ersteres","56","9.015701","10.62241","True","True"
"ATL03","False","True","3","0","0","0","1","True","Ersteres","58","9.561218","4.579697","True","True"
"ATL03","False","True","3","1","0","2","4","True","Ersteres","59","1.823868","2.867416","True","True"
"ATL03","False","True","3","2","0","2","0","True","Zweiteres","27","2.248749","3.838776","True","True"
"ATL03","False","True","3","1","0","1","2","True","Ersteres","50","2.387085","2.840179","True","True"
"ATL03","False","True","3","3","0","2","0","True","Zweiteres","30","3.429138","3.650635","True","True"
"ATL03","False","True","3","0","1","1","3","False","Ersteres","39","2.074768","3.655243","True","True"
"ATL03","False","True","3","0","2","1","5","True","Zweiteres","36","4.597473","2.171448","True","True"
"BFL08","True","True","1","0","0","1","5","False","Zweiteres","100","13.8548","3.604736","True","True"
"BFL08","True","True","1","0","0","0","1","True","Ersteres","100","3.982605","2.920258","True","True"
"BFL08","True","True","1","3","0","2","0","False","Zweiteres","84","11.14227","6.282562","True","True"
"BFL08","True","True","1","0","1","1","3","False","Ersteres","36","14.45905","7.869476","True","True"
"BFL08","True","True","1","2","0","2","0","False","Zweiteres","64","15.94928","13.50543","True","True"
"BFL08","True","True","1","1","0","1","2","False","Ersteres","64","3.178284","6.494812","True","True"
"BFL08","True","True","1","1","0","2","4","False","Ersteres","50","2.266296","2.75","True","True"
"BFL08","True","True","1","0","2","1","5","True","Zweiteres","22","6.104248","3.201721","True","True"
"UZG02","False","True","1","0","0","1","5","True","Zweiteres","7","7.61293","7.935211","True","True"
"UZG02","False","True","1","0","0","0","1","False","Zweiteres","100","2.95636","2.360504","True","True"
"UZG02","False","True","1","1","0","2","4","False","Ersteres","33","5.018906","3.068024","True","True"
"UZG02","False","True","1","1","0","1","2","False","Zweiteres","60","6.35672","7.683716","True","True"
"UZG02","False","True","1","2","0","2","0","True","Zweiteres","85","2.875854","1.78183","True","True"
"UZG02","False","True","1","0","2","1","5","False","Ersteres","74","2.3815","2.332306","True","True"
"UZG02","False","True","1","3","0","2","0","True","Zweiteres","78","1.776062","3.764038","True","True"
"UZG02","False","True","1","0","1","1","3","False","Zweiteres","0","3.413879","2.003662","True","True"
"MFS06","True","False","1","0","0","1","5","False","Zweiteres","69","13.36104","8.330734","True","True"
"MFS06","True","False","1","0","0","0","1","False","Zweiteres","100","9.761627","2.804504","True","True"
"MFS06","True","False","1","1","0","1","2","False","Zweiteres","32","12.27206","8.280411","True","True"
"MFS06","True","False","1","0","2","1","5","True","Ersteres","20","22.0806","3.464661","True","True"
"MFS06","True","False","1","1","0","2","4","False","Zweiteres","39","8.923035","2.370544","True","True"
"MFS06","True","False","1","2","0","2","0","False","Ersteres","63","7.208405","4.397552","True","True"
"MFS06","True","False","1","3","0","2","0","True","Zweiteres","30","8.094788","2.281921","True","True"
"MFS06","True","False","1","0","1","1","3","True","Zweiteres","24","7.441284","3.863464","True","True"
"ETO09","True","False","3","0","0","1","5","False","Zweiteres","71","10.67469","12.81517","True","True"
"ETO09","True","False","3","0","0","0","1","True","Ersteres","100","3.165619","2.598236","True","True"
"ETO09","True","False","3","1","0","2","4","True","Ersteres","38","6.588333","6.982742","True","True"
"ETO09","True","False","3","2","0","2","0","True","Zweiteres","87","6.31012","3.128296","True","True"
"ETO09","True","False","3","0","2","1","5","False","Ersteres","6","1.390991","5.221436","True","True"
"ETO09","True","False","3","0","1","1","3","False","Ersteres","10","1.343597","2.755615","True","True"
"ETO09","True","False","3","3","0","2","0","True","Zweiteres","82","1.064178","6.505951","True","True"
"ETO09","True","False","3","1","0","1","2","False","Zweiteres","75","2.288391","1.933838","True","True"
"GNM07","False","False","0","0","0","1","5","True","Ersteres","89","12.13681","8.270508","True","True"
"GNM07","False","False","0","0","0","0","1","True","Ersteres","95","8.889893","2.749084","True","True"
"GNM07","False","False","0","0","1","1","3","False","Ersteres","10","5.656586","4.820679","True","True"
"GNM07","False","False","0","2","0","2","0","False","Zweiteres","0","7.634583","2.027283","True","True"
"GNM07","False","False","0","0","2","1","5","True","Zweiteres","0","3.3526","2.656799","True","True"
"GNM07","False","False","0","1","0","1","2","False","Zweiteres","14","6.419861","2.303833","True","True"
"GNM07","False","False","0","1","0","2","4","True","Ersteres","30","2.21344","3.483215","True","True"
"GNM07","False","False","0","3","0","2","0","False","Ersteres","35","1.53418","2.811035","True","True"
"ESE01","True","False","1","0","0","1","5","True","Ersteres","8","20.10077","10.58315","True","True"
"ESE01","True","False","1","0","0","0","1","False","Zweiteres","100","2.922577","4.337341","True","True"
"ESE01","True","False","1","0","1","1","3","False","Ersteres","0","15.42487","3.10614","True","True"
"ESE01","True","False","1","0","2","1","5","True","Ersteres","0","7.024658","4.301575","True","True"
"ESE01","True","False","1","2","0","2","0","False","Ersteres","0","27.45212","2.929901","True","True"
"ESE01","True","False","1","1","0","2","4","True","Ersteres","14","11.45258","5.938782","True","True"
"ESE01","True","False","1","1","0","1","2","True","Ersteres","21","4.827271","5.337341","True","True"
"ESE01","True","False","1","3","0","2","0","True","Zweiteres","65","2.55481","3.510193","True","True"
"BGN05","True","False","0","0","0","1","5","True","Ersteres","100","6.483639","3.736748","True","True"
"BGN05","True","False","0","0","0","0","1","False","Zweiteres","100","8.312714","2.030563","True","True"
"BGN05","True","False","0","0","1","1","3","True","Ersteres","66","1.577209","3.460342","True","True"
"BGN05","True","False","0","1","0","1","2","True","Zweiteres","60","6.297623","5.475372","True","True"
"BGN05","True","False","0","0","2","1","5","True","Ersteres","37","1.142365","2.978912","True","True"
"BGN05","True","False","0","3","0","2","0","False","Ersteres","87","1.766785","4.287048","True","True"
"BGN05","True","False","0","2","0","2","0","True","Zweiteres","12","2.081787","4.273987","True","True"
"BGN05","True","False","0","1","0","2","4","True","Ersteres","64","1.453156","1.36142","True","True"
"KSS05","False","True","3","0","0","1","5","True","Ersteres","0","15.16544","6.302673","True","True"
"KSS05","False","True","3","0","0","0","1","True","Zweiteres","0","7.524231","4.114349","True","True"
"KSS05","False","True","3","2","0","2","0","True","Zweiteres","41","4.840576","7.010254","True","True"
"KSS05","False","True","3","1","0","2","4","False","Zweiteres","9","12.22968","7.451599","True","True"
"KSS05","False","True","3","0","1","1","3","True","Ersteres","28","5.605225","2.626892","True","True"
"KSS05","False","True","3","3","0","2","0","False","Ersteres","64","4.851807","4.285156","True","True"
"KSS05","False","True","3","1","0","1","2","False","Zweiteres","5","3.522766","2.429932","True","True"
"KSS05","False","True","3","0","2","1","5","False","Ersteres","0","5.251099","4.097595","True","True"
"MNB10","True","True","1","0","0","1","5","True","Ersteres","91","5.360786","3.82122","False","False"
"MNB10","True","True","1","0","0","0","1","False","Zweiteres","100","1.245193","1.400238","False","False"
"MNB10","True","True","1","2","0","2","0","True","Zweiteres","100","6.111954","1.11496","False","False"
"MNB10","True","True","1","3","0","2","0","True","Zweiteres","100","2.254822","1.442291","False","False"
"MNB10","True","True","1","1","0","2","4","False","Zweiteres","100","1.773224","1.276062","False","False"
"MNB10","True","True","1","0","1","1","3","True","Zweiteres","100","0.851532","1.327209","False","False"
"MNB10","True","True","1","1","0","1","2","True","Ersteres","100","3.700043","1.247955","False","False"
"MNB10","True","True","1","0","2","1","5","False","Ersteres","50","3.477753","0.2305298","False","False"
"MJM09","False","False","2","0","0","1","5","False","Zweiteres","0","20.06592","14.01283","True","True"
"MJM09","False","False","2","0","0","0","1","False","Zweiteres","100","5.54982","6.334717","True","True"
"MJM09","False","False","2","2","0","2","0","False","Zweiteres","10","11.85172","5.762939","True","True"
"MJM09","False","False","2","0","1","1","3","False","Ersteres","100","3.521118","3.370544","True","True"
"MJM09","False","False","2","1","0","2","4","False","Ersteres","100","5.145813","3.142059","True","True"
"MJM09","False","False","2","1","0","1","2","False","Ersteres","100","1.788757","2.980652","True","True"
"MJM09","False","False","2","3","0","2","0","True","Ersteres","0","3.539246","3.050842","True","True"
"MJM09","False","False","2","0","2","1","5","False","Ersteres","100","8.15918","2.952881","True","True"
"AHN06","True","False","1","0","0","1","5","False","Zweiteres","76","6.54834","5.693237","True","True"
"AHN06","True","False","1","0","0","0","1","True","Ersteres","100","2.776855","3.143311","True","True"
"AHN06","True","False","1","2","0","2","0","False","Ersteres","100","8.466858","2.569153","True","True"
"AHN06","True","False","1","0","1","1","3","True","Ersteres","24","5.61499","3.38739","True","True"
"AHN06","True","False","1","0","2","1","5","True","Ersteres","26","7.022461","3.042297","True","True"
"AHN06","True","False","1","3","0","2","0","True","Zweiteres","100","2.083496","1.903625","True","True"
"AHN06","True","False","1","1","0","2","4","False","Zweiteres","0","3.0354","2.33728","True","True"
"AHN06","True","False","1","1","0","1","2","True","Ersteres","3","2.892883","1.842896","True","True"
"ANV01","False","True","2","0","0","1","5","True","Ersteres","33","17.85166","15.72484","True","True"
"ANV01","False","True","2","0","0","0","1","True","Ersteres","50","6.71196","6.904037","True","True"
"ANV01","False","True","2","2","0","2","0","False","Ersteres","89","3.656921","5.323639","True","True"
"ANV01","False","True","2","0","1","1","3","True","Ersteres","5","58.79013","3.537628","True","True"
"ANV01","False","True","2","3","0","2","0","False","Ersteres","86","4.410614","2.659943","True","True"
"ANV01","False","True","2","1","0","1","2","False","Zweiteres","81","6.754456","2.471741","True","True"
"ANV01","False","True","2","0","2","1","5","False","Zweiteres","72","3.425964","1.62262","True","True"
"ANV01","False","True","2","1","0","2","4","False","Zweiteres","72","3.557861","1.915344","True","True"
"CSS02","True","False","3","0","0","1","5","False","Zweiteres","66","8.965088","7.934738","True","True"
"CSS02","True","False","3","0","0","0","1","False","Zweiteres","100","2.158936","4.621094","True","True"
"CSS02","True","False","3","0","2","1","5","False","Zweiteres","27","9.229309","2.442993","True","True"
"CSS02","True","False","3","1","0","1","2","True","Ersteres","70","1.914063","4.486115","True","True"
"CSS02","True","False","3","1","0","2","4","False","Zweiteres","73","7.695251","2.826447","True","True"
"CSS02","True","False","3","2","0","2","0","True","Zweiteres","69","3.270813","1.979004","True","True"
"CSS02","True","False","3","3","0","2","0","False","Ersteres","73","2.244019","4.681091","True","True"
"CSS02","True","False","3","0","1","1","3","True","Ersteres","30","1.957031","4.152771","True","True"
"LSH01","True","False","0","0","0","1","5","False","Zweiteres","62","17.52422","12.60069","True","True"
"LSH01","True","False","0","0","0","0","1","False","Zweiteres","100","2.385101","3.043396","True","True"
"LSH01","True","False","0","1","0","2","4","True","Ersteres","58","7.446686","7.219116","True","True"
"LSH01","True","False","0","0","1","1","3","True","Zweiteres","44","2.335236","9.483002","True","True"
"LSH01","True","False","0","1","0","1","2","False","Zweiteres","69","1.873749","1.691193","True","True"
"LSH01","True","False","0","2","0","2","0","False","Zweiteres","35","3.390991","3.042725","True","True"
"LSH01","True","False","0","0","2","1","5","False","Ersteres","58","6.054352","10.83423","True","True"
"LSH01","True","False","0","3","0","2","0","True","Zweiteres","92","1.408447","4.019958","True","True"
"LXB10","False","True","0","0","0","1","5","True","Ersteres","69","7.088715","3.969177","True","True"
"LXB10","False","True","0","0","0","0","1","False","Zweiteres","95","8.180481","1.727142","True","True"
"LXB10","False","True","0","0","2","1","5","True","Ersteres","100","2.793091","2.054626","True","True"
"LXB10","False","True","0","2","0","2","0","False","Zweiteres","100","1.829193","1.414978","True","True"
"LXB10","False","True","0","3","0","2","0","False","Ersteres","100","1.477051","1.382385","True","True"
"LXB10","False","True","0","0","1","1","3","True","Ersteres","98","0.9542236","1.413757","True","True"
"LXB10","False","True","0","1","0","2","4","False","Zweiteres","93","6.420715","1.130066","True","True"
"LXB10","False","True","0","1","0","1","2","False","Zweiteres","95","1.776428","1.306519","True","True"
"AMH11","False","False","0","0","0","1","5","False","Zweiteres","79","6.968262","4.201538","True","True"
"AMH11","False","False","0","0","0","0","1","True","Ersteres","100","1.765015","1.429565","True","True"
"AMH11","False","False","0","2","0","2","0","True","Ersteres","78","1.604126","11.48694","True","True"
"AMH11","False","False","0","0","2","1","5","False","Ersteres","14","2.942139","1.50354","True","True"
"AMH11","False","False","0","1","0","1","2","False","Ersteres","55","1.553101","3.674561","True","True"
"AMH11","False","False","0","1","0","2","4","False","Zweiteres","6","7.959961","3.131714","True","True"
"AMH11","False","False","0","0","1","1","3","True","Zweiteres","37","1.024902","2.593994","True","True"
"AMH11","False","False","0","3","0","2","0","True","Zweiteres","59","0.9927979","5.02771","True","True"
"RLF04","True","True","1","0","0","1","5","False","Zweiteres","82","4.898514","5.947281","True","True"
"RLF04","True","True","1","0","0","0","1","False","Zweiteres","100","3.315155","2.57132","True","True"
"RLF04","True","True","1","0","2","1","5","False","Zweiteres","68","13.74362","3.964264","True","True"
"RLF04","True","True","1","1","0","2","4","True","Zweiteres","29","24.66437","4.835205","True","True"
