"participant-ID","male","av/Car","perspective","passedSanCheck","perceivedCar","perceivedIden","age","drivExperience","education","recAccidents","heardBoutAV","opinAV","prevVRExp","visImpairment","confidence","trial","decision","SecondSanCheck"
"SOO09","True","True","PedLarge","True","Computer (AV)","Beobachter","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","100","cityR","hitPedestrians","True"
"SOO09","True","True","PedLarge","True","Computer (AV)","Beobachter","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","83","mountain","hitPedestrians","True"
"NSV02","False","True","Passenger","False","Mensch","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Nein","Neutral","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","100","cityR","hitPedestrians","True"
"NSV02","False","True","Passenger","False","Mensch","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Nein","Neutral","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","65","mountain","hitPedestrians","True"
"ULB06","True","True","Passenger","True","Computer (AV)","Mitfahrer","19","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","82","mountain","hitPedestrians","True"
"ULB06","True","True","Passenger","True","Computer (AV)","Mitfahrer","19","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","0","cityR","selfSacrifice","True"
"GNI09","False","False","Passenger","True","Computer (AV)","Beobachter","21","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Sehr positiv","Nein","Nein","33","mountain","hitPedestrians","True"
"GNI09","False","False","Passenger","True","Computer (AV)","Beobachter","21","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Sehr positiv","Nein","Nein","100","cityR","selfSacrifice","True"
"MRM03","False","True","Passenger","True","Computer (AV)","Mitfahrer","24","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Nein","Nein","38","cityR","selfSacrifice","True"
"MRM03","False","True","Passenger","True","Computer (AV)","Mitfahrer","24","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Nein","Nein","22","mountain","hitPedestrians","True"
"GIB11","False","False","PedLarge","False","Mensch","Beobachter","29","Ich fahre nicht Auto","Hochschulabschluss (Master, Diplom, oder höher)","Nein","Ja","Neutral","Ja","Nein","50","mountain","selfSacrifice","True"
"GIB11","False","False","PedLarge","False","Mensch","Beobachter","29","Ich fahre nicht Auto","Hochschulabschluss (Master, Diplom, oder höher)","Nein","Ja","Neutral","Ja","Nein","84","cityR","selfSacrifice","True"
"ATL03","False","True","PedLarge","True","Computer (AV)","Beobachter","24","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Nein","27","mountain","selfSacrifice","True"
"ATL03","False","True","PedLarge","True","Computer (AV)","Beobachter","24","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Nein","30","cityR","selfSacrifice","True"
"BFL08","True","True","Observer","True","Computer (AV)","Beobachter","21","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Nein","84","cityR","hitPedestrians","True"
"BFL08","True","True","Observer","True","Computer (AV)","Beobachter","21","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Nein","64","mountain","hitPedestrians","True"
"UZG02","False","True","Observer","True","Computer (AV)","Beobachter","25","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Nein","Neutral","Nein","Nein","85","mountain","selfSacrifice","True"
"UZG02","False","True","Observer","True","Computer (AV)","Beobachter","25","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Nein","Neutral","Nein","Nein","78","cityR","selfSacrifice","True"
"MFS06","True","False","Observer","True","Mensch","Fußgänger","26","Ich fahre nicht Auto","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Neutral","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","63","mountain","selfSacrifice","True"
"MFS06","True","False","Observer","True","Mensch","Fußgänger","26","Ich fahre nicht Auto","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Neutral","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","30","cityR","selfSacrifice","True"
"ETO09","True","False","PedLarge","True","Mensch","Fußgänger","27","10+","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","87","mountain","selfSacrifice","True"
"ETO09","True","False","PedLarge","True","Mensch","Fußgänger","27","10+","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","82","cityR","selfSacrifice","True"
